Release 14.7 - par P.20131013 (nt64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Fri Dec 28 17:18:44 2018


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       top_map.ncd
OUTPUT FILE:      top_pad.txt
PART TYPE:        xc6slx9
SPEED GRADE:      -3
PACKAGE:          tqg144

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|IO Register|Signal Integrity|
|P117      |sram_d<5>  |IOB      |IO_L64P_SCP5_0            |BIDIR    |LVCMOS33   |0             |12        |SLOW     |           |NONE     |       |LOCATED   |NO         |NONE            |
|P118      |sram_d<4>  |IOB      |IO_L63N_SCP6_0            |BIDIR    |LVCMOS33   |0             |12        |SLOW     |           |NONE     |       |LOCATED   |NO         |NONE            |
|P119      |sram_d<3>  |IOB      |IO_L63P_SCP7_0            |BIDIR    |LVCMOS33   |0             |12        |SLOW     |           |NONE     |       |LOCATED   |NO         |NONE            |
|P120      |sram_d<2>  |IOB      |IO_L62N_VREF_0            |BIDIR    |LVCMOS33   |0             |12        |SLOW     |           |NONE     |       |LOCATED   |NO         |NONE            |
|P121      |sram_d<1>  |IOB      |IO_L62P_0                 |BIDIR    |LVCMOS33   |0             |12        |SLOW     |           |NONE     |       |LOCATED   |NO         |NONE            |
|P122      |           |         |VCCO_0                    |         |           |0             |          |         |           |         |3.30   |          |           |                |
|P123      |RZV7       |IOB      |IO_L37N_GCLK12_0          |OUTPUT   |LVCMOS33   |0             |12        |SLOW     |           |         |       |LOCATED   |NO         |NONE            |
|P124      |           |IOBM     |IO_L37P_GCLK13_0          |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P125      |           |         |VCCO_0                    |         |           |0             |          |         |           |         |3.30   |          |           |                |
|P126      |RZV5       |IOB      |IO_L36N_GCLK14_0          |OUTPUT   |LVCMOS33   |0             |12        |SLOW     |           |         |       |LOCATED   |NO         |NONE            |
|P127      |RZV4       |IOB      |IO_L36P_GCLK15_0          |OUTPUT   |LVCMOS33   |0             |12        |SLOW     |           |         |       |LOCATED   |NO         |NONE            |
|P128      |           |         |VCCINT                    |         |           |              |          |         |           |         |1.2    |          |           |                |
|P129      |           |         |VCCAUX                    |         |           |              |          |         |           |         |2.5    |          |           |                |
|P130      |           |         |GND                       |         |           |              |          |         |           |         |       |          |           |                |
|P131      |           |IOBS     |IO_L35N_GCLK16_0          |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P132      |           |IOBM     |IO_L35P_GCLK17_0          |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P133      |           |IOBS     |IO_L34N_GCLK18_0          |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P134      |clk        |IOB      |IO_L34P_GCLK19_0          |INPUT    |LVCMOS33   |0             |          |         |           |NONE     |       |LOCATED   |NO         |NONE            |
|P135      |           |         |VCCO_0                    |         |           |0             |          |         |           |         |3.30   |          |           |                |
|P136      |           |         |GND                       |         |           |              |          |         |           |         |       |          |           |                |
|P137      |sram_d<0>  |IOB      |IO_L4N_0                  |BIDIR    |LVCMOS33   |0             |12        |SLOW     |           |NONE     |       |LOCATED   |NO         |NONE            |
|P138      |sram_ce0   |IOB      |IO_L4P_0                  |OUTPUT   |LVCMOS33   |0             |12        |SLOW     |           |         |       |LOCATED   |NO         |NONE            |
|P139      |sram_a<0>  |IOB      |IO_L3N_0                  |OUTPUT   |LVCMOS33   |0             |12        |SLOW     |           |         |       |LOCATED   |NO         |NONE            |
|P140      |sram_a<1>  |IOB      |IO_L3P_0                  |OUTPUT   |LVCMOS33   |0             |12        |SLOW     |           |         |       |LOCATED   |NO         |NONE            |
|P141      |sram_a<2>  |IOB      |IO_L2N_0                  |OUTPUT   |LVCMOS33   |0             |12        |SLOW     |           |         |       |LOCATED   |NO         |NONE            |
|P142      |sram_a<3>  |IOB      |IO_L2P_0                  |OUTPUT   |LVCMOS33   |0             |12        |SLOW     |           |         |       |LOCATED   |NO         |NONE            |
|P143      |           |IOBS     |IO_L1N_VREF_0             |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P144      |sram_a<4>  |IOB      |IO_L1P_HSWAPEN_0          |OUTPUT   |LVCMOS33   |0             |12        |SLOW     |           |         |       |LOCATED   |NO         |NONE            |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen. 
****** Special VCCO requirements may apply. Please consult the device 
       family datasheet for specific guideline on VCCO requirements. 


